Year,Project,Project Code,Trip Number,ADFG Number,Vessel Name,CFEC Permit Number,Date Left Port,Sell Date,Groundline Diameter Inches,Pot Spacing Feet,All Tickets,First Ticket,Gear,Trip Target Species Code,Trip Target Species,Groundfish Stat Area,Groundfish Management Area Code,Time Set,Time Hauled,Average Depth Fathoms,Pot Type,Pot Dimensions,Number of Pots,Species,Species Code,Disposition,Disposition Code,Numbers,Pounds
1997,Commercial Pot Trip,617,1001,35564,NAVIGATOR,C91C50868S,8/31/1997 0:00,9/6/1997 0:00,0.75,150,91494,91494,Pot,710,Sablefish,325401,SSEI,9/1/1997 12:00,9/5/1997 10:00,205,Round,33x60x30,25,Sablefish,710,Retained,1,,130
1997,Commercial Pot Trip,617,1001,35564,NAVIGATOR,C91C50868S,8/31/1997 0:00,9/6/1997 0:00,0.75,150,91494,91494,Pot,710,Sablefish,325431,SSEI,9/1/1997 10:00,9/4/1997 8:30,205,Round,33x60x30,25,Sablefish,710,Retained,1,,30
1997,Commercial Pot Trip,617,1001,35564,NAVIGATOR,C91C50868S,8/31/1997 0:00,9/6/1997 0:00,0.75,150,91494,91494,Pot,710,Sablefish,325433,SSEI,9/1/1997 15:00,9/4/1997 16:00,215,Round,33x60x30,25,Sablefish,710,Retained,1,,150
1997,Commercial Pot Trip,617,1001,35564,NAVIGATOR,C91C50868S,8/31/1997 0:00,9/6/1997 0:00,0.75,150,91494,91494,Pot,710,Sablefish,325433,SSEI,9/1/1997 19:30,9/3/1997 14:20,240,Round,33x60x30,25,Sablefish,710,Retained,1,,400
1997,Commercial Pot Trip,617,1001,35564,NAVIGATOR,C91C50868S,8/31/1997 0:00,9/6/1997 0:00,0.75,150,91494,91494,Pot,710,Sablefish,325433,SSEI,9/3/1997 21:00,9/4/1997 13:00,215,Round,33x60x30,25,Sablefish,710,Retained,1,,30
1997,Commercial Pot Trip,617,1001,35564,NAVIGATOR,C91C50868S,8/31/1997 0:00,9/6/1997 0:00,0.75,150,91494,91494,Pot,710,Sablefish,325433,SSEI,9/4/1997 19:30,9/4/1997 19:45,230,Round,33x60x30,25,Sablefish,710,Retained,1,,25
1997,Commercial Pot Trip,617,1002,35564,NAVIGATOR,C91C50868S,,9/11/1997 0:00,0.75,150,91495,91495,Pot,710,Sablefish,315432,SSEI,9/5/1997 15:30,9/8/1997 7:30,228,Round,33x60x30,23,Sablefish,710,Retained,1,,1200
1997,Commercial Pot Trip,617,1002,35564,NAVIGATOR,C91C50868S,,9/11/1997 0:00,0.75,150,91495,91495,Pot,710,Sablefish,315432,SSEI,9/5/1997 17:40,9/8/1997 1:00,235,Round,33x60x30,23,Sablefish,710,Retained,1,,700
1997,Commercial Pot Trip,617,1002,35564,NAVIGATOR,C91C50868S,,9/11/1997 0:00,0.75,150,91495,91495,Pot,710,Sablefish,315432,SSEI,9/5/1997 18:50,9/8/1997 13:00,240,Round,33x60x30,23,Sablefish,710,Retained,1,,800
1997,Commercial Pot Trip,617,1002,35564,NAVIGATOR,C91C50868S,,9/11/1997 0:00,0.75,150,91495,91495,Pot,710,Sablefish,315432,SSEI,9/8/1997 8:30,9/10/1997 7:00,235,Round,33x60x30,22,Sablefish,710,Retained,1,,1200
1997,Commercial Pot Trip,617,1002,35564,NAVIGATOR,C91C50868S,,9/11/1997 0:00,0.75,150,91495,91495,Pot,710,Sablefish,315432,SSEI,9/8/1997 11:00,9/10/1997 1:00,225,Round,33x60x30,23,Sablefish,710,Retained,1,,800
1997,Commercial Pot Trip,617,1002,35564,NAVIGATOR,C91C50868S,,9/11/1997 0:00,0.75,150,91495,91495,Pot,710,Sablefish,315432,SSEI,9/8/1997 14:50,9/10/1997 12:00,240,Round,33x60x30,23,Sablefish,710,Retained,1,,800
1997,Commercial Pot Trip,617,1002,35564,NAVIGATOR,C91C50868S,,9/11/1997 0:00,0.75,150,91495,91495,Pot,710,Sablefish,325401,SSEI,9/1/1997 8:00,9/9/1997 18:50,200,Round,33x60x30,23,Sablefish,710,Retained,1,,50
1997,Commercial Pot Trip,617,1003,35564,NAVIGATOR,C91C50868S,,9/15/1997 0:00,0.75,150,91496,91496,Pot,710,Sablefish,315432,SSEI,9/9/1997 17:00,9/12/1997 18:00,235,Round,33x60x30,24,Sablefish,710,Retained,1,,600
1997,Commercial Pot Trip,617,1003,35564,NAVIGATOR,C91C50868S,,9/15/1997 0:00,0.75,150,91496,91496,Pot,710,Sablefish,315432,SSEI,9/9/1997 18:00,9/12/1997 12:00,235,Round,33x60x30,24,Sablefish,710,Retained,1,,700
