year,Area,total_harvest,n_boats,permit_count
1997,Dixon Entrance,222445.63,20,20
1997,Lower Clarence Strait,316977.96,25,28
1997,Sumner Strait,6073.14,5,5
1997,Upper Clarence Strait,179569.94,16,20
1998,Dixon Entrance,211157.23,17,17
1998,Lower Clarence Strait,221194.02,21,24
1998,Upper Clarence Strait,145738.39,11,14
1999,Dixon Entrance,150884.21,14,13
1999,Lower Clarence Strait,306710,21,22
1999,Upper Clarence Strait,201762.09,14,17
2000,Dixon Entrance,108610.28,10,10
2000,Lower Clarence Strait,291978.77,18,23
2000,Upper Clarence Strait,191091.22,14,19
2001,Dixon Entrance,181623.72,10,11
2001,Lower Clarence Strait,263556.03,17,22
2001,Upper Clarence Strait,204188.06,12,16
2002,Dixon Entrance,223598.99,11,15
2002,Lower Clarence Strait,267689.06,16,22
2002,Upper Clarence Strait,158213.17,10,14
2003,Dixon Entrance,188664.25,10,13
2003,Lower Clarence Strait,306563.27,17,22
2003,Upper Clarence Strait,161709.27,9,12
2004,Dixon Entrance,243734.36,11,17
2004,Lower Clarence Strait,299165.42,18,24
2004,Upper Clarence Strait,107749.20999999999,9,12
2005,Dixon Entrance,304674,12,17
2005,Lower Clarence Strait,261187.98,13,17
2005,Upper Clarence Strait,73857.45,5,7
2006,Dixon Entrance,357075.2143,17,23
2006,Lower Clarence Strait,232640.9555,16,21
2006,Upper Clarence Strait,35116.1536,5,10
2007,Dixon Entrance,353003.2941,15,23
2007,Lower Clarence Strait,235935.74970000001,17,27
2007,Upper Clarence Strait,31341.4074,5,7
2008,Dixon Entrance,213892.7354,18,20
2008,Lower Clarence Strait,321985.3503,22,26
2008,Upper Clarence Strait,82155.356,11,13
2009,Dixon Entrance,281630.2242,19,21
2009,Lower Clarence Strait,225001.7424,22,25
2009,Upper Clarence Strait,88188.5427,9,11
2010,Dixon Entrance,233566.84339999998,14,18
2010,Lower Clarence Strait,195978.2678,17,21
2010,Upper Clarence Strait,129087.7323,10,12
2011,Dixon Entrance,235113.7954,14,16
2011,Lower Clarence Strait,210584.0836,16,20
2011,Upper Clarence Strait,95232.7868,9,12
2012,Dixon Entrance,249875.5399,12,14
2012,Lower Clarence Strait,191800.3137,12,19
2012,Upper Clarence Strait,80149.5911,8,10
2013,Dixon Entrance,237729.4964,14,17
2013,Lower Clarence Strait,222485.1117,12,17
2013,Upper Clarence Strait,45384.6314,7,10
2014,Dixon Entrance,185447.255,10,13
2014,Lower Clarence Strait,237473.7378,13,21
2014,Upper Clarence Strait,71838.636,9,12
2015,Dixon Entrance,198149.6438,11,15
2015,Lower Clarence Strait,223015.0257,13,20
2015,Upper Clarence Strait,91415.5718,9,13
2016,Dixon Entrance,168015.2989,11,16
2016,Lower Clarence Strait,217612.0868,11,20
2016,Upper Clarence Strait,89838.4956,9,14
2017,Dixon Entrance,170203.2041,8,11
2017,Lower Clarence Strait,250720.6723,12,21
2017,Upper Clarence Strait,93285.2039,8,14
2018,Dixon Entrance,232411.3423,10,13
2018,Lower Clarence Strait,218899.0111,10,18
2018,Upper Clarence Strait,123953.3644,8,14
2019,Dixon Entrance,168883.6733,9,12
2019,Lower Clarence Strait,258589.12,9,17
2019,Upper Clarence Strait,159693.41330000001,9,14
2020,Dixon Entrance,77874.573,4,5
2020,Lower Clarence Strait,262654.8935,7,17
2020,Upper Clarence Strait,184031.0923,9,19
2021,Dixon Entrance,28596.6185,5,5
2021,Lower Clarence Strait,373620.0091,10,18
2021,Upper Clarence Strait,113944.6444,10,15
2022,Dixon Entrance,48747.86,3,3
2022,Lower Clarence Strait,321322.3891,10,19
2022,Upper Clarence Strait,220192.8,9,15
2023,Dixon Entrance,49952.1748,3,5
2023,Lower Clarence Strait,224337.1328,11,16
2023,Upper Clarence Strait,96947.3189,8,8
2024,Lower Clarence Strait,200687.3327,9,12
2024,Upper Clarence Strait,66025.9511,9,10
