Source,year,Sex,age,n,proportion,label
Longline fishery,2002,Male,16,5,0.02137,llfsh
Longline fishery,2002,Male,17,3,0.01282,llfsh
Longline fishery,2002,Male,18,2,0.00855,llfsh
Longline fishery,2002,Male,19,5,0.02137,llfsh
Longline fishery,2002,Male,20,4,0.01709,llfsh
Longline fishery,2002,Male,21,1,0.00427,llfsh
Longline fishery,2002,Male,22,1,0.00427,llfsh
Longline fishery,2002,Male,23,6,0.02564,llfsh
Longline fishery,2002,Male,24,1,0.00427,llfsh
Longline fishery,2002,Male,25,17,0.07265,llfsh
Longline fishery,2003,Female,2,0,0,llfsh
Longline fishery,2003,Female,3,20,0.0692,llfsh
Longline fishery,2003,Female,4,16,0.05536,llfsh
Longline fishery,2003,Female,5,34,0.11765,llfsh
Longline fishery,2003,Female,6,59,0.20415,llfsh
Longline fishery,2003,Female,7,62,0.21453,llfsh
Longline fishery,2003,Female,8,41,0.14187,llfsh
Longline fishery,2003,Female,9,20,0.0692,llfsh
Longline fishery,2003,Female,10,11,0.03806,llfsh
Longline fishery,2003,Female,11,7,0.02422,llfsh
Longline fishery,2003,Female,12,4,0.01384,llfsh
Longline fishery,2003,Female,13,2,0.00692,llfsh
Longline fishery,2003,Female,14,1,0.00346,llfsh
Longline fishery,2003,Female,15,2,0.00692,llfsh
Longline fishery,2003,Female,16,0,0,llfsh
Longline fishery,2003,Female,17,0,0,llfsh
Longline fishery,2003,Female,18,2,0.00692,llfsh
Longline fishery,2003,Female,19,1,0.00346,llfsh
Longline fishery,2003,Female,20,0,0,llfsh
Longline fishery,2003,Female,21,1,0.00346,llfsh
Longline fishery,2003,Female,22,1,0.00346,llfsh
Longline fishery,2003,Female,23,1,0.00346,llfsh
Longline fishery,2003,Female,24,1,0.00346,llfsh
Longline fishery,2003,Female,25,3,0.01038,llfsh
Longline fishery,2003,Male,2,0,0,llfsh
Longline fishery,2003,Male,3,9,0.04036,llfsh
Longline fishery,2003,Male,4,9,0.04036,llfsh
Longline fishery,2003,Male,5,25,0.11211,llfsh
Longline fishery,2003,Male,6,33,0.14798,llfsh
Longline fishery,2003,Male,7,30,0.13453,llfsh
Longline fishery,2003,Male,8,21,0.09417,llfsh
Longline fishery,2003,Male,9,29,0.13004,llfsh
Longline fishery,2003,Male,10,17,0.07623,llfsh
Longline fishery,2003,Male,11,9,0.04036,llfsh
Longline fishery,2003,Male,12,10,0.04484,llfsh
Longline fishery,2003,Male,13,3,0.01345,llfsh
Longline fishery,2003,Male,14,4,0.01794,llfsh
Longline fishery,2003,Male,15,3,0.01345,llfsh
Longline fishery,2003,Male,16,1,0.00448,llfsh
Longline fishery,2003,Male,17,0,0,llfsh
Longline fishery,2003,Male,18,0,0,llfsh
Longline fishery,2003,Male,19,5,0.02242,llfsh
Longline fishery,2003,Male,20,0,0,llfsh
Longline fishery,2003,Male,21,1,0.00448,llfsh
Longline fishery,2003,Male,22,1,0.00448,llfsh
Longline fishery,2003,Male,23,2,0.00897,llfsh
Longline fishery,2003,Male,24,1,0.00448,llfsh
Longline fishery,2003,Male,25,10,0.04484,llfsh
Longline fishery,2004,Female,2,0,0,llfsh
Longline fishery,2004,Female,3,0,0,llfsh
Longline fishery,2004,Female,4,10,0.03745,llfsh
Longline fishery,2004,Female,5,23,0.08614,llfsh
Longline fishery,2004,Female,6,32,0.11985,llfsh
Longline fishery,2004,Female,7,46,0.17228,llfsh
Longline fishery,2004,Female,8,52,0.19476,llfsh
Longline fishery,2004,Female,9,37,0.13858,llfsh
Longline fishery,2004,Female,10,22,0.0824,llfsh
Longline fishery,2004,Female,11,17,0.06367,llfsh
Longline fishery,2004,Female,12,10,0.03745,llfsh
Longline fishery,2004,Female,13,4,0.01498,llfsh
Longline fishery,2004,Female,14,2,0.00749,llfsh
Longline fishery,2004,Female,15,2,0.00749,llfsh
Longline fishery,2004,Female,16,2,0.00749,llfsh
Longline fishery,2004,Female,17,1,0.00375,llfsh
Longline fishery,2004,Female,18,1,0.00375,llfsh
Longline fishery,2004,Female,19,0,0,llfsh
Longline fishery,2004,Female,20,1,0.00375,llfsh
Longline fishery,2004,Female,21,0,0,llfsh
Longline fishery,2004,Female,22,2,0.00749,llfsh
Longline fishery,2004,Female,23,0,0,llfsh
Longline fishery,2004,Female,24,1,0.00375,llfsh
Longline fishery,2004,Female,25,2,0.00749,llfsh
Longline fishery,2004,Male,2,0,0,llfsh
Longline fishery,2004,Male,3,1,0.00532,llfsh
Longline fishery,2004,Male,4,2,0.01064,llfsh
Longline fishery,2004,Male,5,12,0.06383,llfsh
Longline fishery,2004,Male,6,26,0.1383,llfsh
Longline fishery,2004,Male,7,30,0.15957,llfsh
Longline fishery,2004,Male,8,24,0.12766,llfsh
Longline fishery,2004,Male,9,20,0.10638,llfsh
Longline fishery,2004,Male,10,17,0.09043,llfsh
Longline fishery,2004,Male,11,15,0.07979,llfsh
Longline fishery,2004,Male,12,8,0.04255,llfsh
Longline fishery,2004,Male,13,4,0.02128,llfsh
Longline fishery,2004,Male,14,3,0.01596,llfsh
Longline fishery,2004,Male,15,4,0.02128,llfsh
Longline fishery,2004,Male,16,4,0.02128,llfsh
Longline fishery,2004,Male,17,3,0.01596,llfsh
Longline fishery,2004,Male,18,2,0.01064,llfsh
Longline fishery,2004,Male,19,0,0,llfsh
Longline fishery,2004,Male,20,1,0.00532,llfsh
Longline fishery,2004,Male,21,0,0,llfsh
Longline fishery,2004,Male,22,1,0.00532,llfsh
Longline fishery,2004,Male,23,1,0.00532,llfsh
Longline fishery,2004,Male,24,0,0,llfsh
Longline fishery,2004,Male,25,10,0.05319,llfsh
Longline fishery,2005,Female,2,0,0,llfsh
Longline fishery,2005,Female,3,1,0.004,llfsh
Longline fishery,2005,Female,4,1,0.004,llfsh
Longline fishery,2005,Female,5,13,0.052,llfsh
Longline fishery,2005,Female,6,20,0.08,llfsh
Longline fishery,2005,Female,7,43,0.172,llfsh
Longline fishery,2005,Female,8,54,0.216,llfsh
Longline fishery,2005,Female,9,44,0.176,llfsh
Longline fishery,2005,Female,10,31,0.124,llfsh
Longline fishery,2005,Female,11,14,0.056,llfsh
Longline fishery,2005,Female,12,14,0.056,llfsh
Longline fishery,2005,Female,13,6,0.024,llfsh
Longline fishery,2005,Female,14,7,0.028,llfsh
Longline fishery,2005,Female,15,0,0,llfsh
Longline fishery,2005,Female,16,0,0,llfsh
Longline fishery,2005,Female,17,0,0,llfsh
Longline fishery,2005,Female,18,0,0,llfsh
Longline fishery,2005,Female,19,0,0,llfsh
Longline fishery,2005,Female,20,0,0,llfsh
Longline fishery,2005,Female,21,1,0.004,llfsh
Longline fishery,2005,Female,22,0,0,llfsh
Longline fishery,2005,Female,23,0,0,llfsh
Longline fishery,2005,Female,24,1,0.004,llfsh
Longline fishery,2005,Female,25,0,0,llfsh
Longline fishery,2005,Male,2,0,0,llfsh
Longline fishery,2005,Male,3,0,0,llfsh
Longline fishery,2005,Male,4,2,0.0076,llfsh
Longline fishery,2005,Male,5,9,0.03422,llfsh
Longline fishery,2005,Male,6,22,0.08365,llfsh
Longline fishery,2005,Male,7,27,0.10266,llfsh
Longline fishery,2005,Male,8,46,0.1749,llfsh
Longline fishery,2005,Male,9,50,0.19011,llfsh
Longline fishery,2005,Male,10,17,0.06464,llfsh
Longline fishery,2005,Male,11,19,0.07224,llfsh
Longline fishery,2005,Male,12,12,0.04563,llfsh
Longline fishery,2005,Male,13,16,0.06084,llfsh
Longline fishery,2005,Male,14,6,0.02281,llfsh
Longline fishery,2005,Male,15,6,0.02281,llfsh
Longline fishery,2005,Male,16,5,0.01901,llfsh
Longline fishery,2005,Male,17,2,0.0076,llfsh
Longline fishery,2005,Male,18,2,0.0076,llfsh
Longline fishery,2005,Male,19,4,0.01521,llfsh
Longline fishery,2005,Male,20,3,0.01141,llfsh
Longline fishery,2005,Male,21,2,0.0076,llfsh
Longline fishery,2005,Male,22,1,0.0038,llfsh
Longline fishery,2005,Male,23,3,0.01141,llfsh
Longline fishery,2005,Male,24,0,0,llfsh
Longline fishery,2005,Male,25,9,0.03422,llfsh
Longline fishery,2006,Female,2,0,0,llfsh
Longline fishery,2006,Female,3,0,0,llfsh
Longline fishery,2006,Female,4,3,0.0124,llfsh
Longline fishery,2006,Female,5,5,0.02066,llfsh
Longline fishery,2006,Female,6,34,0.1405,llfsh
Longline fishery,2006,Female,7,51,0.21074,llfsh
Longline fishery,2006,Female,8,62,0.2562,llfsh
Longline fishery,2006,Female,9,31,0.1281,llfsh
Longline fishery,2006,Female,10,25,0.10331,llfsh
Longline fishery,2006,Female,11,12,0.04959,llfsh
Longline fishery,2006,Female,12,9,0.03719,llfsh
Longline fishery,2006,Female,13,2,0.00826,llfsh
Longline fishery,2006,Female,14,2,0.00826,llfsh
Longline fishery,2006,Female,15,1,0.00413,llfsh
Longline fishery,2006,Female,16,1,0.00413,llfsh
Longline fishery,2006,Female,17,0,0,llfsh
Longline fishery,2006,Female,18,1,0.00413,llfsh
Longline fishery,2006,Female,19,1,0.00413,llfsh
Longline fishery,2006,Female,20,0,0,llfsh
Longline fishery,2006,Female,21,0,0,llfsh
Longline fishery,2006,Female,22,0,0,llfsh
Longline fishery,2006,Female,23,0,0,llfsh
Longline fishery,2006,Female,24,0,0,llfsh
Longline fishery,2006,Female,25,2,0.00826,llfsh
Longline fishery,2006,Male,2,0,0,llfsh
Longline fishery,2006,Male,3,1,0.00474,llfsh
Longline fishery,2006,Male,4,4,0.01896,llfsh
Longline fishery,2006,Male,5,11,0.05213,llfsh
Longline fishery,2006,Male,6,25,0.11848,llfsh
Longline fishery,2006,Male,7,25,0.11848,llfsh
Longline fishery,2006,Male,8,28,0.1327,llfsh
Longline fishery,2006,Male,9,29,0.13744,llfsh
Longline fishery,2006,Male,10,24,0.11374,llfsh
Longline fishery,2006,Male,11,15,0.07109,llfsh
Longline fishery,2006,Male,12,10,0.04739,llfsh
Longline fishery,2006,Male,13,6,0.02844,llfsh
Longline fishery,2006,Male,14,6,0.02844,llfsh
Longline fishery,2006,Male,15,2,0.00948,llfsh
Longline fishery,2006,Male,16,2,0.00948,llfsh
Longline fishery,2006,Male,17,3,0.01422,llfsh
Longline fishery,2006,Male,18,1,0.00474,llfsh
Longline fishery,2006,Male,19,2,0.00948,llfsh
Longline fishery,2006,Male,20,1,0.00474,llfsh
Longline fishery,2006,Male,21,1,0.00474,llfsh
Longline fishery,2006,Male,22,1,0.00474,llfsh
Longline fishery,2006,Male,23,1,0.00474,llfsh
Longline fishery,2006,Male,24,1,0.00474,llfsh
Longline fishery,2006,Male,25,12,0.05687,llfsh
Longline fishery,2007,Female,2,0,0,llfsh
Longline fishery,2007,Female,3,2,0.00939,llfsh
Longline fishery,2007,Female,4,8,0.03756,llfsh
Longline fishery,2007,Female,5,21,0.09859,llfsh
Longline fishery,2007,Female,6,10,0.04695,llfsh
Longline fishery,2007,Female,7,18,0.08451,llfsh
Longline fishery,2007,Female,8,34,0.15962,llfsh
Longline fishery,2007,Female,9,47,0.22066,llfsh
Longline fishery,2007,Female,10,20,0.0939,llfsh
Longline fishery,2007,Female,11,17,0.07981,llfsh
Longline fishery,2007,Female,12,13,0.06103,llfsh
Longline fishery,2007,Female,13,7,0.03286,llfsh
Longline fishery,2007,Female,14,3,0.01408,llfsh
Longline fishery,2007,Female,15,4,0.01878,llfsh
Longline fishery,2007,Female,16,1,0.00469,llfsh
Longline fishery,2007,Female,17,2,0.00939,llfsh
Longline fishery,2007,Female,18,3,0.01408,llfsh
Longline fishery,2007,Female,19,0,0,llfsh
Longline fishery,2007,Female,20,2,0.00939,llfsh
Longline fishery,2007,Female,21,0,0,llfsh
Longline fishery,2007,Female,22,0,0,llfsh
Longline fishery,2007,Female,23,0,0,llfsh
Longline fishery,2007,Female,24,0,0,llfsh
Longline fishery,2007,Female,25,1,0.00469,llfsh
Longline fishery,2007,Male,2,0,0,llfsh
Longline fishery,2007,Male,3,2,0.00694,llfsh
Longline fishery,2007,Male,4,5,0.01736,llfsh
Longline fishery,2007,Male,5,10,0.03472,llfsh
Longline fishery,2007,Male,6,15,0.05208,llfsh
Longline fishery,2007,Male,7,23,0.07986,llfsh
Longline fishery,2007,Male,8,39,0.13542,llfsh
Longline fishery,2007,Male,9,59,0.20486,llfsh
Longline fishery,2007,Male,10,34,0.11806,llfsh
Longline fishery,2007,Male,11,40,0.13889,llfsh
Longline fishery,2007,Male,12,13,0.04514,llfsh
Longline fishery,2007,Male,13,7,0.02431,llfsh
Longline fishery,2007,Male,14,9,0.03125,llfsh
Longline fishery,2007,Male,15,6,0.02083,llfsh
Longline fishery,2007,Male,16,5,0.01736,llfsh
Longline fishery,2007,Male,17,6,0.02083,llfsh
Longline fishery,2007,Male,18,2,0.00694,llfsh
Longline fishery,2007,Male,19,2,0.00694,llfsh
Longline fishery,2007,Male,20,1,0.00347,llfsh
Longline fishery,2007,Male,21,2,0.00694,llfsh
Longline fishery,2007,Male,22,2,0.00694,llfsh
Longline fishery,2007,Male,23,0,0,llfsh
Longline fishery,2007,Male,24,1,0.00347,llfsh
Longline fishery,2007,Male,25,5,0.01736,llfsh
Longline fishery,2008,Female,2,1,0.00465,llfsh
Longline fishery,2008,Female,3,0,0,llfsh
Longline fishery,2008,Female,4,3,0.01395,llfsh
Longline fishery,2008,Female,5,7,0.03256,llfsh
Longline fishery,2008,Female,6,7,0.03256,llfsh
Longline fishery,2008,Female,7,15,0.06977,llfsh
Longline fishery,2008,Female,8,24,0.11163,llfsh
Longline fishery,2008,Female,9,34,0.15814,llfsh
Longline fishery,2008,Female,10,31,0.14419,llfsh
Longline fishery,2008,Female,11,24,0.11163,llfsh
Longline fishery,2008,Female,12,23,0.10698,llfsh
Longline fishery,2008,Female,13,16,0.07442,llfsh
Longline fishery,2008,Female,14,9,0.04186,llfsh
Longline fishery,2008,Female,15,3,0.01395,llfsh
Longline fishery,2008,Female,16,5,0.02326,llfsh
Longline fishery,2008,Female,17,1,0.00465,llfsh
Longline fishery,2008,Female,18,2,0.0093,llfsh
Longline fishery,2008,Female,19,3,0.01395,llfsh
Longline fishery,2008,Female,20,2,0.0093,llfsh
Longline fishery,2008,Female,21,0,0,llfsh
Longline fishery,2008,Female,22,1,0.00465,llfsh
Longline fishery,2008,Female,23,1,0.00465,llfsh
Longline fishery,2008,Female,24,0,0,llfsh
Longline fishery,2008,Female,25,3,0.01395,llfsh
Longline fishery,2008,Male,2,0,0,llfsh
Longline fishery,2008,Male,3,0,0,llfsh
Longline fishery,2008,Male,4,4,0.01619,llfsh
Longline fishery,2008,Male,5,9,0.03644,llfsh
Longline fishery,2008,Male,6,4,0.01619,llfsh
Longline fishery,2008,Male,7,12,0.04858,llfsh
Longline fishery,2008,Male,8,32,0.12955,llfsh
Longline fishery,2008,Male,9,25,0.10121,llfsh
Longline fishery,2008,Male,10,30,0.12146,llfsh
Longline fishery,2008,Male,11,31,0.12551,llfsh
Longline fishery,2008,Male,12,21,0.08502,llfsh
Longline fishery,2008,Male,13,19,0.07692,llfsh
Longline fishery,2008,Male,14,8,0.03239,llfsh
Longline fishery,2008,Male,15,9,0.03644,llfsh
Longline fishery,2008,Male,16,3,0.01215,llfsh
Longline fishery,2008,Male,17,6,0.02429,llfsh
Longline fishery,2008,Male,18,3,0.01215,llfsh
Longline fishery,2008,Male,19,3,0.01215,llfsh
Longline fishery,2008,Male,20,3,0.01215,llfsh
Longline fishery,2008,Male,21,0,0,llfsh
Longline fishery,2008,Male,22,1,0.00405,llfsh
Longline fishery,2008,Male,23,1,0.00405,llfsh
Longline fishery,2008,Male,24,1,0.00405,llfsh
Longline fishery,2008,Male,25,22,0.08907,llfsh
Longline fishery,2009,Female,2,1,0.00348,llfsh
Longline fishery,2009,Female,3,8,0.02787,llfsh
Longline fishery,2009,Female,4,9,0.03136,llfsh
Longline fishery,2009,Female,5,16,0.05575,llfsh
Longline fishery,2009,Female,6,31,0.10801,llfsh
Longline fishery,2009,Female,7,24,0.08362,llfsh
Longline fishery,2009,Female,8,32,0.1115,llfsh
Longline fishery,2009,Female,9,37,0.12892,llfsh
Longline fishery,2009,Female,10,35,0.12195,llfsh
Longline fishery,2009,Female,11,24,0.08362,llfsh
Longline fishery,2009,Female,12,22,0.07666,llfsh
Longline fishery,2009,Female,13,19,0.0662,llfsh
Longline fishery,2009,Female,14,11,0.03833,llfsh
Longline fishery,2009,Female,15,1,0.00348,llfsh
Longline fishery,2009,Female,16,5,0.01742,llfsh
Longline fishery,2009,Female,17,3,0.01045,llfsh
Longline fishery,2009,Female,18,3,0.01045,llfsh
Longline fishery,2009,Female,19,2,0.00697,llfsh
Longline fishery,2009,Female,20,1,0.00348,llfsh
Longline fishery,2009,Female,21,0,0,llfsh
Longline fishery,2009,Female,22,1,0.00348,llfsh
Longline fishery,2009,Female,23,0,0,llfsh
Longline fishery,2009,Female,24,1,0.00348,llfsh
Longline fishery,2009,Female,25,1,0.00348,llfsh
Longline fishery,2009,Male,2,0,0,llfsh
Longline fishery,2009,Male,3,5,0.0188,llfsh
Longline fishery,2009,Male,4,5,0.0188,llfsh
Longline fishery,2009,Male,5,9,0.03383,llfsh
Longline fishery,2009,Male,6,15,0.05639,llfsh
Longline fishery,2009,Male,7,18,0.06767,llfsh
Longline fishery,2009,Male,8,19,0.07143,llfsh
Longline fishery,2009,Male,9,30,0.11278,llfsh
Longline fishery,2009,Male,10,22,0.08271,llfsh
Longline fishery,2009,Male,11,29,0.10902,llfsh
Longline fishery,2009,Male,12,20,0.07519,llfsh
Longline fishery,2009,Male,13,26,0.09774,llfsh
Longline fishery,2009,Male,14,18,0.06767,llfsh
Longline fishery,2009,Male,15,10,0.03759,llfsh
Longline fishery,2009,Male,16,5,0.0188,llfsh
Longline fishery,2009,Male,17,2,0.00752,llfsh
Longline fishery,2009,Male,18,7,0.02632,llfsh
Longline fishery,2009,Male,19,2,0.00752,llfsh
Longline fishery,2009,Male,20,5,0.0188,llfsh
Longline fishery,2009,Male,21,1,0.00376,llfsh
Longline fishery,2009,Male,22,0,0,llfsh
Longline fishery,2009,Male,23,2,0.00752,llfsh
Longline fishery,2009,Male,24,1,0.00376,llfsh
Longline fishery,2009,Male,25,15,0.05639,llfsh
Longline fishery,2010,Female,2,0,0,llfsh
Longline fishery,2010,Female,3,4,0.0137,llfsh
Longline fishery,2010,Female,4,9,0.03082,llfsh
Longline fishery,2010,Female,5,22,0.07534,llfsh
Longline fishery,2010,Female,6,26,0.08904,llfsh
Longline fishery,2010,Female,7,37,0.12671,llfsh
Longline fishery,2010,Female,8,20,0.06849,llfsh
Longline fishery,2010,Female,9,25,0.08562,llfsh
Longline fishery,2010,Female,10,29,0.09932,llfsh
Longline fishery,2010,Female,11,29,0.09932,llfsh
Longline fishery,2010,Female,12,28,0.09589,llfsh
Longline fishery,2010,Female,13,19,0.06507,llfsh
Longline fishery,2010,Female,14,15,0.05137,llfsh
Longline fishery,2010,Female,15,12,0.0411,llfsh
Longline fishery,2010,Female,16,10,0.03425,llfsh
Longline fishery,2010,Female,17,2,0.00685,llfsh
Longline fishery,2010,Female,18,1,0.00342,llfsh
Longline fishery,2010,Female,19,2,0.00685,llfsh
Longline fishery,2010,Female,20,0,0,llfsh
Longline fishery,2010,Female,21,1,0.00342,llfsh
Longline fishery,2010,Female,22,0,0,llfsh
Longline fishery,2010,Female,23,0,0,llfsh
Longline fishery,2010,Female,24,0,0,llfsh
Longline fishery,2010,Female,25,1,0.00342,llfsh
Longline fishery,2010,Male,2,1,0.0036,llfsh
Longline fishery,2010,Male,3,6,0.02158,llfsh
Longline fishery,2010,Male,4,5,0.01799,llfsh
Longline fishery,2010,Male,5,15,0.05396,llfsh
Longline fishery,2010,Male,6,12,0.04317,llfsh
Longline fishery,2010,Male,7,16,0.05755,llfsh
Longline fishery,2010,Male,8,22,0.07914,llfsh
Longline fishery,2010,Male,9,21,0.07554,llfsh
Longline fishery,2010,Male,10,21,0.07554,llfsh
Longline fishery,2010,Male,11,31,0.11151,llfsh
Longline fishery,2010,Male,12,24,0.08633,llfsh
Longline fishery,2010,Male,13,32,0.11511,llfsh
Longline fishery,2010,Male,14,13,0.04676,llfsh
Longline fishery,2010,Male,15,16,0.05755,llfsh
Longline fishery,2010,Male,16,8,0.02878,llfsh
Longline fishery,2010,Male,17,8,0.02878,llfsh
Longline fishery,2010,Male,18,5,0.01799,llfsh
Longline fishery,2010,Male,19,3,0.01079,llfsh
Longline fishery,2010,Male,20,2,0.00719,llfsh
Longline fishery,2010,Male,21,2,0.00719,llfsh
Longline fishery,2010,Male,22,4,0.01439,llfsh
Longline fishery,2010,Male,23,0,0,llfsh
Longline fishery,2010,Male,24,2,0.00719,llfsh
Longline fishery,2010,Male,25,9,0.03237,llfsh
Longline fishery,2011,Female,2,0,0,llfsh
Longline fishery,2011,Female,3,1,0.00368,llfsh
Longline fishery,2011,Female,4,15,0.05515,llfsh
Longline fishery,2011,Female,5,37,0.13603,llfsh
Longline fishery,2011,Female,6,20,0.07353,llfsh
Longline fishery,2011,Female,7,31,0.11397,llfsh
Longline fishery,2011,Female,8,23,0.08456,llfsh
Longline fishery,2011,Female,9,24,0.08824,llfsh
Longline fishery,2011,Female,10,19,0.06985,llfsh
Longline fishery,2011,Female,11,11,0.04044,llfsh
Longline fishery,2011,Female,12,17,0.0625,llfsh
Longline fishery,2011,Female,13,17,0.0625,llfsh
Longline fishery,2011,Female,14,15,0.05515,llfsh
Longline fishery,2011,Female,15,12,0.04412,llfsh
Longline fishery,2011,Female,16,11,0.04044,llfsh
Longline fishery,2011,Female,17,5,0.01838,llfsh
Longline fishery,2011,Female,18,3,0.01103,llfsh
Longline fishery,2011,Female,19,1,0.00368,llfsh
Longline fishery,2011,Female,20,2,0.00735,llfsh
Longline fishery,2011,Female,21,2,0.00735,llfsh
Longline fishery,2011,Female,22,2,0.00735,llfsh
Longline fishery,2011,Female,23,1,0.00368,llfsh
Longline fishery,2011,Female,24,1,0.00368,llfsh
Longline fishery,2011,Female,25,2,0.00735,llfsh
Longline fishery,2011,Male,2,0,0,llfsh
Longline fishery,2011,Male,3,2,0.01042,llfsh
Longline fishery,2011,Male,4,11,0.05729,llfsh
Longline fishery,2011,Male,5,25,0.13021,llfsh
Longline fishery,2011,Male,6,14,0.07292,llfsh
Longline fishery,2011,Male,7,16,0.08333,llfsh
Longline fishery,2011,Male,8,13,0.06771,llfsh
Longline fishery,2011,Male,9,8,0.04167,llfsh
Longline fishery,2011,Male,10,10,0.05208,llfsh
Longline fishery,2011,Male,11,10,0.05208,llfsh
Longline fishery,2011,Male,12,12,0.0625,llfsh
Longline fishery,2011,Male,13,5,0.02604,llfsh
Longline fishery,2011,Male,14,15,0.07812,llfsh
Longline fishery,2011,Male,15,7,0.03646,llfsh
Longline fishery,2011,Male,16,4,0.02083,llfsh
Longline fishery,2011,Male,17,6,0.03125,llfsh
Longline fishery,2011,Male,18,12,0.0625,llfsh
Longline fishery,2011,Male,19,2,0.01042,llfsh
Longline fishery,2011,Male,20,2,0.01042,llfsh
Longline fishery,2011,Male,21,3,0.01562,llfsh
Longline fishery,2011,Male,22,1,0.00521,llfsh
