Source,year,Sex,age,n,proportion,label
Longline fishery,2001,Female,2,0,0,llfsh
Longline fishery,2001,Female,3,5,0.02381,llfsh
Longline fishery,2001,Female,4,8,0.0381,llfsh
Longline fishery,2001,Female,5,14,0.06667,llfsh
Longline fishery,2001,Female,6,15,0.07143,llfsh
Longline fishery,2001,Female,7,27,0.12857,llfsh
Longline fishery,2001,Female,8,33,0.15714,llfsh
Longline fishery,2001,Female,9,20,0.09524,llfsh
Longline fishery,2001,Female,10,17,0.08095,llfsh
Longline fishery,2001,Female,11,16,0.07619,llfsh
Longline fishery,2001,Female,12,12,0.05714,llfsh
Longline fishery,2001,Female,13,8,0.0381,llfsh
Longline fishery,2001,Female,14,6,0.02857,llfsh
Longline fishery,2001,Female,15,10,0.04762,llfsh
Longline fishery,2001,Female,16,1,0.00476,llfsh
Longline fishery,2001,Female,17,2,0.00952,llfsh
Longline fishery,2001,Female,18,3,0.01429,llfsh
Longline fishery,2001,Female,19,1,0.00476,llfsh
Longline fishery,2001,Female,20,4,0.01905,llfsh
Longline fishery,2001,Female,21,1,0.00476,llfsh
Longline fishery,2001,Female,22,2,0.00952,llfsh
Longline fishery,2001,Female,23,0,0,llfsh
Longline fishery,2001,Female,24,0,0,llfsh
Longline fishery,2001,Female,25,5,0.02381,llfsh
Longline fishery,2001,Male,2,1,0.00521,llfsh
Longline fishery,2001,Male,3,0,0,llfsh
Longline fishery,2001,Male,4,7,0.03646,llfsh
Longline fishery,2001,Male,5,4,0.02083,llfsh
Longline fishery,2001,Male,6,16,0.08333,llfsh
Longline fishery,2001,Male,7,15,0.07812,llfsh
Longline fishery,2001,Male,8,15,0.07812,llfsh
Longline fishery,2001,Male,9,24,0.125,llfsh
Longline fishery,2001,Male,10,13,0.06771,llfsh
Longline fishery,2001,Male,11,14,0.07292,llfsh
Longline fishery,2001,Male,12,8,0.04167,llfsh
Longline fishery,2001,Male,13,8,0.04167,llfsh
Longline fishery,2001,Male,14,10,0.05208,llfsh
Longline fishery,2001,Male,15,5,0.02604,llfsh
Longline fishery,2001,Male,16,1,0.00521,llfsh
Longline fishery,2001,Male,17,4,0.02083,llfsh
Longline fishery,2001,Male,18,5,0.02604,llfsh
Longline fishery,2001,Male,19,4,0.02083,llfsh
Longline fishery,2001,Male,20,2,0.01042,llfsh
Longline fishery,2001,Male,21,3,0.01562,llfsh
Longline fishery,2001,Male,22,2,0.01042,llfsh
Longline fishery,2001,Male,23,2,0.01042,llfsh
Longline fishery,2001,Male,24,8,0.04167,llfsh
Longline fishery,2001,Male,25,21,0.10938,llfsh
Longline fishery,2002,Female,2,1,0.00431,llfsh
Longline fishery,2002,Female,3,6,0.02586,llfsh
Longline fishery,2002,Female,4,9,0.03879,llfsh
Longline fishery,2002,Female,5,27,0.11638,llfsh
Longline fishery,2002,Female,6,39,0.1681,llfsh
Longline fishery,2002,Female,7,38,0.16379,llfsh
Longline fishery,2002,Female,8,33,0.14224,llfsh
Longline fishery,2002,Female,9,26,0.11207,llfsh
Longline fishery,2002,Female,10,16,0.06897,llfsh
Longline fishery,2002,Female,11,4,0.01724,llfsh
Longline fishery,2002,Female,12,10,0.0431,llfsh
Longline fishery,2002,Female,13,4,0.01724,llfsh
Longline fishery,2002,Female,14,4,0.01724,llfsh
Longline fishery,2002,Female,15,2,0.00862,llfsh
Longline fishery,2002,Female,16,0,0,llfsh
Longline fishery,2002,Female,17,1,0.00431,llfsh
Longline fishery,2002,Female,18,1,0.00431,llfsh
Longline fishery,2002,Female,19,0,0,llfsh
Longline fishery,2002,Female,20,1,0.00431,llfsh
Longline fishery,2002,Female,21,1,0.00431,llfsh
Longline fishery,2002,Female,22,1,0.00431,llfsh
Longline fishery,2002,Female,23,2,0.00862,llfsh
Longline fishery,2002,Female,24,1,0.00431,llfsh
Longline fishery,2002,Female,25,5,0.02155,llfsh
Longline fishery,2002,Male,2,0,0,llfsh
Longline fishery,2002,Male,3,3,0.01282,llfsh
Longline fishery,2002,Male,4,3,0.01282,llfsh
Longline fishery,2002,Male,5,19,0.0812,llfsh
Longline fishery,2002,Male,6,29,0.12393,llfsh
Longline fishery,2002,Male,7,24,0.10256,llfsh
Longline fishery,2002,Male,8,31,0.13248,llfsh
Longline fishery,2002,Male,9,21,0.08974,llfsh
Longline fishery,2002,Male,10,19,0.0812,llfsh
Longline fishery,2002,Male,11,14,0.05983,llfsh
Longline fishery,2002,Male,12,10,0.04274,llfsh
Longline fishery,2002,Male,13,10,0.04274,llfsh
Longline fishery,2002,Male,14,1,0.00427,llfsh
Longline fishery,2002,Male,15,5,0.02137,llfsh
