year,sd,cpue,n,se,ll,ul
2020,30.06830922737513,44.55662823545574,19,6.8981432276452495,30.76034178016524,58.35291469074624
2021,25.45744762242034,44.919739114293115,38,4.12974333167098,36.660252450951155,53.179225777635075
2022,12.989413066325158,28.254892927164455,54,1.76763522615207,24.719622474860316,31.790163379468595
2023,12.475196710399542,23.565468408963348,42,1.9249646438507182,19.715539121261912,27.415397696664783
2024,11.975880492803864,23.87203146142876,34,2.053846560351634,19.764338340725494,27.97972458213203
