year,sd,cpue,n,se,ll,ul
2020,148.39701818268057,169.2925179209103,19,34.044610830582755,101.2032962597448,237.38173958207582
2021,190.71360055010717,195.07836649476832,38,30.937831310202963,133.20270387436238,256.95402911517425
