age,Source,Sex,year,n,proportion,label
2,Longline fishery,Female,2001,0,0,llfsh
3,Longline fishery,Female,2001,5,0.02381,llfsh
4,Longline fishery,Female,2001,8,0.0381,llfsh
5,Longline fishery,Female,2001,14,0.06667,llfsh
6,Longline fishery,Female,2001,15,0.07143,llfsh
7,Longline fishery,Female,2001,27,0.12857,llfsh
8,Longline fishery,Female,2001,33,0.15714,llfsh
9,Longline fishery,Female,2001,20,0.09524,llfsh
10,Longline fishery,Female,2001,17,0.08095,llfsh
11,Longline fishery,Female,2001,16,0.07619,llfsh
12,Longline fishery,Female,2001,12,0.05714,llfsh
13,Longline fishery,Female,2001,8,0.0381,llfsh
14,Longline fishery,Female,2001,6,0.02857,llfsh
15,Longline fishery,Female,2001,10,0.04762,llfsh
16,Longline fishery,Female,2001,1,0.00476,llfsh
17,Longline fishery,Female,2001,2,0.00952,llfsh
18,Longline fishery,Female,2001,3,0.01429,llfsh
19,Longline fishery,Female,2001,1,0.00476,llfsh
20,Longline fishery,Female,2001,4,0.01905,llfsh
21,Longline fishery,Female,2001,1,0.00476,llfsh
22,Longline fishery,Female,2001,2,0.00952,llfsh
23,Longline fishery,Female,2001,0,0,llfsh
24,Longline fishery,Female,2001,0,0,llfsh
25,Longline fishery,Female,2001,5,0.02381,llfsh
2,Longline fishery,Male,2001,1,0.00521,llfsh
3,Longline fishery,Male,2001,0,0,llfsh
4,Longline fishery,Male,2001,7,0.03646,llfsh
5,Longline fishery,Male,2001,4,0.02083,llfsh
6,Longline fishery,Male,2001,16,0.08333,llfsh
7,Longline fishery,Male,2001,15,0.07812,llfsh
8,Longline fishery,Male,2001,15,0.07812,llfsh
9,Longline fishery,Male,2001,24,0.125,llfsh
10,Longline fishery,Male,2001,13,0.06771,llfsh
11,Longline fishery,Male,2001,14,0.07292,llfsh
12,Longline fishery,Male,2001,8,0.04167,llfsh
13,Longline fishery,Male,2001,8,0.04167,llfsh
14,Longline fishery,Male,2001,10,0.05208,llfsh
15,Longline fishery,Male,2001,5,0.02604,llfsh
16,Longline fishery,Male,2001,1,0.00521,llfsh
17,Longline fishery,Male,2001,4,0.02083,llfsh
18,Longline fishery,Male,2001,5,0.02604,llfsh
19,Longline fishery,Male,2001,4,0.02083,llfsh
20,Longline fishery,Male,2001,2,0.01042,llfsh
21,Longline fishery,Male,2001,3,0.01562,llfsh
22,Longline fishery,Male,2001,2,0.01042,llfsh
23,Longline fishery,Male,2001,2,0.01042,llfsh
24,Longline fishery,Male,2001,8,0.04167,llfsh
25,Longline fishery,Male,2001,21,0.10938,llfsh
2,Longline fishery,Female,2002,1,0.00431,llfsh
3,Longline fishery,Female,2002,6,0.02586,llfsh
4,Longline fishery,Female,2002,9,0.03879,llfsh
5,Longline fishery,Female,2002,27,0.11638,llfsh
6,Longline fishery,Female,2002,39,0.1681,llfsh
7,Longline fishery,Female,2002,38,0.16379,llfsh
8,Longline fishery,Female,2002,33,0.14224,llfsh
9,Longline fishery,Female,2002,26,0.11207,llfsh
10,Longline fishery,Female,2002,16,0.06897,llfsh
11,Longline fishery,Female,2002,4,0.01724,llfsh
12,Longline fishery,Female,2002,10,0.0431,llfsh
13,Longline fishery,Female,2002,4,0.01724,llfsh
14,Longline fishery,Female,2002,4,0.01724,llfsh
15,Longline fishery,Female,2002,2,0.00862,llfsh
16,Longline fishery,Female,2002,0,0,llfsh
17,Longline fishery,Female,2002,1,0.00431,llfsh
18,Longline fishery,Female,2002,1,0.00431,llfsh
19,Longline fishery,Female,2002,0,0,llfsh
20,Longline fishery,Female,2002,1,0.00431,llfsh
21,Longline fishery,Female,2002,1,0.00431,llfsh
22,Longline fishery,Female,2002,1,0.00431,llfsh
23,Longline fishery,Female,2002,2,0.00862,llfsh
24,Longline fishery,Female,2002,1,0.00431,llfsh
25,Longline fishery,Female,2002,5,0.02155,llfsh
2,Longline fishery,Male,2002,0,0,llfsh
3,Longline fishery,Male,2002,3,0.01282,llfsh
4,Longline fishery,Male,2002,3,0.01282,llfsh
5,Longline fishery,Male,2002,19,0.0812,llfsh
6,Longline fishery,Male,2002,29,0.12393,llfsh
7,Longline fishery,Male,2002,24,0.10256,llfsh
8,Longline fishery,Male,2002,31,0.13248,llfsh
9,Longline fishery,Male,2002,21,0.08974,llfsh
10,Longline fishery,Male,2002,19,0.0812,llfsh
11,Longline fishery,Male,2002,14,0.05983,llfsh
12,Longline fishery,Male,2002,10,0.04274,llfsh
13,Longline fishery,Male,2002,10,0.04274,llfsh
14,Longline fishery,Male,2002,1,0.00427,llfsh
15,Longline fishery,Male,2002,5,0.02137,llfsh
16,Longline fishery,Male,2002,5,0.02137,llfsh
17,Longline fishery,Male,2002,3,0.01282,llfsh
18,Longline fishery,Male,2002,2,0.00855,llfsh
19,Longline fishery,Male,2002,5,0.02137,llfsh
20,Longline fishery,Male,2002,4,0.01709,llfsh
21,Longline fishery,Male,2002,1,0.00427,llfsh
22,Longline fishery,Male,2002,1,0.00427,llfsh
23,Longline fishery,Male,2002,6,0.02564,llfsh
24,Longline fishery,Male,2002,1,0.00427,llfsh
25,Longline fishery,Male,2002,17,0.07265,llfsh
2,Longline fishery,Female,2003,0,0,llfsh
3,Longline fishery,Female,2003,20,0.0692,llfsh
4,Longline fishery,Female,2003,16,0.05536,llfsh
5,Longline fishery,Female,2003,34,0.11765,llfsh
6,Longline fishery,Female,2003,59,0.20415,llfsh
7,Longline fishery,Female,2003,62,0.21453,llfsh
8,Longline fishery,Female,2003,41,0.14187,llfsh
9,Longline fishery,Female,2003,20,0.0692,llfsh
10,Longline fishery,Female,2003,11,0.03806,llfsh
11,Longline fishery,Female,2003,7,0.02422,llfsh
12,Longline fishery,Female,2003,4,0.01384,llfsh
13,Longline fishery,Female,2003,2,0.00692,llfsh
14,Longline fishery,Female,2003,1,0.00346,llfsh
15,Longline fishery,Female,2003,2,0.00692,llfsh
16,Longline fishery,Female,2003,0,0,llfsh
17,Longline fishery,Female,2003,0,0,llfsh
18,Longline fishery,Female,2003,2,0.00692,llfsh
19,Longline fishery,Female,2003,1,0.00346,llfsh
20,Longline fishery,Female,2003,0,0,llfsh
21,Longline fishery,Female,2003,1,0.00346,llfsh
22,Longline fishery,Female,2003,1,0.00346,llfsh
23,Longline fishery,Female,2003,1,0.00346,llfsh
24,Longline fishery,Female,2003,1,0.00346,llfsh
25,Longline fishery,Female,2003,3,0.01038,llfsh
2,Longline fishery,Male,2003,0,0,llfsh
3,Longline fishery,Male,2003,9,0.04036,llfsh
4,Longline fishery,Male,2003,9,0.04036,llfsh
5,Longline fishery,Male,2003,25,0.11211,llfsh
6,Longline fishery,Male,2003,33,0.14798,llfsh
7,Longline fishery,Male,2003,30,0.13453,llfsh
8,Longline fishery,Male,2003,21,0.09417,llfsh
9,Longline fishery,Male,2003,29,0.13004,llfsh
10,Longline fishery,Male,2003,17,0.07623,llfsh
11,Longline fishery,Male,2003,9,0.04036,llfsh
12,Longline fishery,Male,2003,10,0.04484,llfsh
13,Longline fishery,Male,2003,3,0.01345,llfsh
14,Longline fishery,Male,2003,4,0.01794,llfsh
15,Longline fishery,Male,2003,3,0.01345,llfsh
16,Longline fishery,Male,2003,1,0.00448,llfsh
17,Longline fishery,Male,2003,0,0,llfsh
18,Longline fishery,Male,2003,0,0,llfsh
19,Longline fishery,Male,2003,5,0.02242,llfsh
20,Longline fishery,Male,2003,0,0,llfsh
21,Longline fishery,Male,2003,1,0.00448,llfsh
22,Longline fishery,Male,2003,1,0.00448,llfsh
23,Longline fishery,Male,2003,2,0.00897,llfsh
24,Longline fishery,Male,2003,1,0.00448,llfsh
25,Longline fishery,Male,2003,10,0.04484,llfsh
2,Longline fishery,Female,2004,0,0,llfsh
3,Longline fishery,Female,2004,0,0,llfsh
4,Longline fishery,Female,2004,10,0.03745,llfsh
5,Longline fishery,Female,2004,23,0.08614,llfsh
6,Longline fishery,Female,2004,32,0.11985,llfsh
7,Longline fishery,Female,2004,46,0.17228,llfsh
8,Longline fishery,Female,2004,52,0.19476,llfsh
9,Longline fishery,Female,2004,37,0.13858,llfsh
10,Longline fishery,Female,2004,22,0.0824,llfsh
11,Longline fishery,Female,2004,17,0.06367,llfsh
12,Longline fishery,Female,2004,10,0.03745,llfsh
13,Longline fishery,Female,2004,4,0.01498,llfsh
14,Longline fishery,Female,2004,2,0.00749,llfsh
15,Longline fishery,Female,2004,2,0.00749,llfsh
16,Longline fishery,Female,2004,2,0.00749,llfsh
17,Longline fishery,Female,2004,1,0.00375,llfsh
18,Longline fishery,Female,2004,1,0.00375,llfsh
19,Longline fishery,Female,2004,0,0,llfsh
20,Longline fishery,Female,2004,1,0.00375,llfsh
21,Longline fishery,Female,2004,0,0,llfsh
22,Longline fishery,Female,2004,2,0.00749,llfsh
23,Longline fishery,Female,2004,0,0,llfsh
24,Longline fishery,Female,2004,1,0.00375,llfsh
25,Longline fishery,Female,2004,2,0.00749,llfsh
2,Longline fishery,Male,2004,0,0,llfsh
3,Longline fishery,Male,2004,1,0.00532,llfsh
4,Longline fishery,Male,2004,2,0.01064,llfsh
5,Longline fishery,Male,2004,12,0.06383,llfsh
6,Longline fishery,Male,2004,26,0.1383,llfsh
7,Longline fishery,Male,2004,30,0.15957,llfsh
8,Longline fishery,Male,2004,24,0.12766,llfsh
9,Longline fishery,Male,2004,20,0.10638,llfsh
10,Longline fishery,Male,2004,17,0.09043,llfsh
11,Longline fishery,Male,2004,15,0.07979,llfsh
12,Longline fishery,Male,2004,8,0.04255,llfsh
13,Longline fishery,Male,2004,4,0.02128,llfsh
14,Longline fishery,Male,2004,3,0.01596,llfsh
15,Longline fishery,Male,2004,4,0.02128,llfsh
16,Longline fishery,Male,2004,4,0.02128,llfsh
17,Longline fishery,Male,2004,3,0.01596,llfsh
18,Longline fishery,Male,2004,2,0.01064,llfsh
19,Longline fishery,Male,2004,0,0,llfsh
20,Longline fishery,Male,2004,1,0.00532,llfsh
21,Longline fishery,Male,2004,0,0,llfsh
22,Longline fishery,Male,2004,1,0.00532,llfsh
23,Longline fishery,Male,2004,1,0.00532,llfsh
24,Longline fishery,Male,2004,0,0,llfsh
25,Longline fishery,Male,2004,10,0.05319,llfsh
2,Longline fishery,Female,2005,0,0,llfsh
3,Longline fishery,Female,2005,1,0.004,llfsh
4,Longline fishery,Female,2005,1,0.004,llfsh
5,Longline fishery,Female,2005,13,0.052,llfsh
6,Longline fishery,Female,2005,20,0.08,llfsh
7,Longline fishery,Female,2005,43,0.172,llfsh
8,Longline fishery,Female,2005,54,0.216,llfsh
9,Longline fishery,Female,2005,44,0.176,llfsh
10,Longline fishery,Female,2005,31,0.124,llfsh
11,Longline fishery,Female,2005,14,0.056,llfsh
12,Longline fishery,Female,2005,14,0.056,llfsh
13,Longline fishery,Female,2005,6,0.024,llfsh
14,Longline fishery,Female,2005,7,0.028,llfsh
15,Longline fishery,Female,2005,0,0,llfsh
16,Longline fishery,Female,2005,0,0,llfsh
17,Longline fishery,Female,2005,0,0,llfsh
18,Longline fishery,Female,2005,0,0,llfsh
19,Longline fishery,Female,2005,0,0,llfsh
20,Longline fishery,Female,2005,0,0,llfsh
21,Longline fishery,Female,2005,1,0.004,llfsh
22,Longline fishery,Female,2005,0,0,llfsh
23,Longline fishery,Female,2005,0,0,llfsh
24,Longline fishery,Female,2005,1,0.004,llfsh
25,Longline fishery,Female,2005,0,0,llfsh
2,Longline fishery,Male,2005,0,0,llfsh
3,Longline fishery,Male,2005,0,0,llfsh
4,Longline fishery,Male,2005,2,0.0076,llfsh
5,Longline fishery,Male,2005,9,0.03422,llfsh
6,Longline fishery,Male,2005,22,0.08365,llfsh
7,Longline fishery,Male,2005,27,0.10266,llfsh
8,Longline fishery,Male,2005,46,0.1749,llfsh
9,Longline fishery,Male,2005,50,0.19011,llfsh
10,Longline fishery,Male,2005,17,0.06464,llfsh
11,Longline fishery,Male,2005,19,0.07224,llfsh
12,Longline fishery,Male,2005,12,0.04563,llfsh
13,Longline fishery,Male,2005,16,0.06084,llfsh
14,Longline fishery,Male,2005,6,0.02281,llfsh
15,Longline fishery,Male,2005,6,0.02281,llfsh
16,Longline fishery,Male,2005,5,0.01901,llfsh
17,Longline fishery,Male,2005,2,0.0076,llfsh
18,Longline fishery,Male,2005,2,0.0076,llfsh
