age,Source,Sex,year,n,proportion,label
19,Longline fishery,Male,2005,4,0.01521,llfsh
20,Longline fishery,Male,2005,3,0.01141,llfsh
21,Longline fishery,Male,2005,2,0.0076,llfsh
22,Longline fishery,Male,2005,1,0.0038,llfsh
23,Longline fishery,Male,2005,3,0.01141,llfsh
24,Longline fishery,Male,2005,0,0,llfsh
25,Longline fishery,Male,2005,9,0.03422,llfsh
2,Longline fishery,Female,2006,0,0,llfsh
3,Longline fishery,Female,2006,0,0,llfsh
4,Longline fishery,Female,2006,3,0.0124,llfsh
5,Longline fishery,Female,2006,5,0.02066,llfsh
6,Longline fishery,Female,2006,34,0.1405,llfsh
7,Longline fishery,Female,2006,51,0.21074,llfsh
8,Longline fishery,Female,2006,62,0.2562,llfsh
9,Longline fishery,Female,2006,31,0.1281,llfsh
10,Longline fishery,Female,2006,25,0.10331,llfsh
11,Longline fishery,Female,2006,12,0.04959,llfsh
12,Longline fishery,Female,2006,9,0.03719,llfsh
13,Longline fishery,Female,2006,2,0.00826,llfsh
14,Longline fishery,Female,2006,2,0.00826,llfsh
15,Longline fishery,Female,2006,1,0.00413,llfsh
16,Longline fishery,Female,2006,1,0.00413,llfsh
17,Longline fishery,Female,2006,0,0,llfsh
18,Longline fishery,Female,2006,1,0.00413,llfsh
19,Longline fishery,Female,2006,1,0.00413,llfsh
20,Longline fishery,Female,2006,0,0,llfsh
21,Longline fishery,Female,2006,0,0,llfsh
22,Longline fishery,Female,2006,0,0,llfsh
23,Longline fishery,Female,2006,0,0,llfsh
24,Longline fishery,Female,2006,0,0,llfsh
25,Longline fishery,Female,2006,2,0.00826,llfsh
2,Longline fishery,Male,2006,0,0,llfsh
3,Longline fishery,Male,2006,1,0.00474,llfsh
4,Longline fishery,Male,2006,4,0.01896,llfsh
5,Longline fishery,Male,2006,11,0.05213,llfsh
6,Longline fishery,Male,2006,25,0.11848,llfsh
7,Longline fishery,Male,2006,25,0.11848,llfsh
8,Longline fishery,Male,2006,28,0.1327,llfsh
9,Longline fishery,Male,2006,29,0.13744,llfsh
10,Longline fishery,Male,2006,24,0.11374,llfsh
11,Longline fishery,Male,2006,15,0.07109,llfsh
12,Longline fishery,Male,2006,10,0.04739,llfsh
13,Longline fishery,Male,2006,6,0.02844,llfsh
14,Longline fishery,Male,2006,6,0.02844,llfsh
15,Longline fishery,Male,2006,2,0.00948,llfsh
16,Longline fishery,Male,2006,2,0.00948,llfsh
17,Longline fishery,Male,2006,3,0.01422,llfsh
18,Longline fishery,Male,2006,1,0.00474,llfsh
19,Longline fishery,Male,2006,2,0.00948,llfsh
20,Longline fishery,Male,2006,1,0.00474,llfsh
21,Longline fishery,Male,2006,1,0.00474,llfsh
22,Longline fishery,Male,2006,1,0.00474,llfsh
23,Longline fishery,Male,2006,1,0.00474,llfsh
24,Longline fishery,Male,2006,1,0.00474,llfsh
25,Longline fishery,Male,2006,12,0.05687,llfsh
2,Longline fishery,Female,2007,0,0,llfsh
3,Longline fishery,Female,2007,2,0.00957,llfsh
4,Longline fishery,Female,2007,8,0.03828,llfsh
5,Longline fishery,Female,2007,21,0.10048,llfsh
6,Longline fishery,Female,2007,10,0.04785,llfsh
7,Longline fishery,Female,2007,18,0.08612,llfsh
8,Longline fishery,Female,2007,32,0.15311,llfsh
9,Longline fishery,Female,2007,46,0.2201,llfsh
10,Longline fishery,Female,2007,19,0.09091,llfsh
11,Longline fishery,Female,2007,17,0.08134,llfsh
12,Longline fishery,Female,2007,13,0.0622,llfsh
13,Longline fishery,Female,2007,7,0.03349,llfsh
14,Longline fishery,Female,2007,3,0.01435,llfsh
15,Longline fishery,Female,2007,4,0.01914,llfsh
16,Longline fishery,Female,2007,1,0.00478,llfsh
17,Longline fishery,Female,2007,2,0.00957,llfsh
18,Longline fishery,Female,2007,3,0.01435,llfsh
19,Longline fishery,Female,2007,0,0,llfsh
20,Longline fishery,Female,2007,2,0.00957,llfsh
21,Longline fishery,Female,2007,0,0,llfsh
22,Longline fishery,Female,2007,0,0,llfsh
23,Longline fishery,Female,2007,0,0,llfsh
24,Longline fishery,Female,2007,0,0,llfsh
25,Longline fishery,Female,2007,1,0.00478,llfsh
2,Longline fishery,Male,2007,0,0,llfsh
3,Longline fishery,Male,2007,2,0.00717,llfsh
4,Longline fishery,Male,2007,5,0.01792,llfsh
5,Longline fishery,Male,2007,10,0.03584,llfsh
6,Longline fishery,Male,2007,13,0.04659,llfsh
7,Longline fishery,Male,2007,23,0.08244,llfsh
8,Longline fishery,Male,2007,39,0.13978,llfsh
9,Longline fishery,Male,2007,58,0.20789,llfsh
10,Longline fishery,Male,2007,34,0.12186,llfsh
11,Longline fishery,Male,2007,37,0.13262,llfsh
12,Longline fishery,Male,2007,12,0.04301,llfsh
13,Longline fishery,Male,2007,7,0.02509,llfsh
14,Longline fishery,Male,2007,9,0.03226,llfsh
15,Longline fishery,Male,2007,6,0.02151,llfsh
16,Longline fishery,Male,2007,4,0.01434,llfsh
17,Longline fishery,Male,2007,5,0.01792,llfsh
18,Longline fishery,Male,2007,2,0.00717,llfsh
19,Longline fishery,Male,2007,2,0.00717,llfsh
20,Longline fishery,Male,2007,1,0.00358,llfsh
21,Longline fishery,Male,2007,2,0.00717,llfsh
22,Longline fishery,Male,2007,2,0.00717,llfsh
23,Longline fishery,Male,2007,0,0,llfsh
24,Longline fishery,Male,2007,1,0.00358,llfsh
25,Longline fishery,Male,2007,5,0.01792,llfsh
2,Longline fishery,Female,2008,1,0.00465,llfsh
3,Longline fishery,Female,2008,0,0,llfsh
4,Longline fishery,Female,2008,3,0.01395,llfsh
5,Longline fishery,Female,2008,7,0.03256,llfsh
6,Longline fishery,Female,2008,7,0.03256,llfsh
7,Longline fishery,Female,2008,15,0.06977,llfsh
8,Longline fishery,Female,2008,24,0.11163,llfsh
9,Longline fishery,Female,2008,34,0.15814,llfsh
10,Longline fishery,Female,2008,31,0.14419,llfsh
11,Longline fishery,Female,2008,24,0.11163,llfsh
12,Longline fishery,Female,2008,23,0.10698,llfsh
13,Longline fishery,Female,2008,16,0.07442,llfsh
14,Longline fishery,Female,2008,9,0.04186,llfsh
15,Longline fishery,Female,2008,3,0.01395,llfsh
16,Longline fishery,Female,2008,5,0.02326,llfsh
17,Longline fishery,Female,2008,1,0.00465,llfsh
18,Longline fishery,Female,2008,2,0.0093,llfsh
19,Longline fishery,Female,2008,3,0.01395,llfsh
20,Longline fishery,Female,2008,2,0.0093,llfsh
21,Longline fishery,Female,2008,0,0,llfsh
22,Longline fishery,Female,2008,1,0.00465,llfsh
23,Longline fishery,Female,2008,1,0.00465,llfsh
24,Longline fishery,Female,2008,0,0,llfsh
25,Longline fishery,Female,2008,3,0.01395,llfsh
2,Longline fishery,Male,2008,0,0,llfsh
3,Longline fishery,Male,2008,0,0,llfsh
4,Longline fishery,Male,2008,4,0.01619,llfsh
5,Longline fishery,Male,2008,9,0.03644,llfsh
6,Longline fishery,Male,2008,4,0.01619,llfsh
7,Longline fishery,Male,2008,12,0.04858,llfsh
8,Longline fishery,Male,2008,32,0.12955,llfsh
9,Longline fishery,Male,2008,25,0.10121,llfsh
10,Longline fishery,Male,2008,30,0.12146,llfsh
11,Longline fishery,Male,2008,31,0.12551,llfsh
12,Longline fishery,Male,2008,21,0.08502,llfsh
13,Longline fishery,Male,2008,19,0.07692,llfsh
14,Longline fishery,Male,2008,8,0.03239,llfsh
15,Longline fishery,Male,2008,9,0.03644,llfsh
16,Longline fishery,Male,2008,3,0.01215,llfsh
17,Longline fishery,Male,2008,6,0.02429,llfsh
18,Longline fishery,Male,2008,3,0.01215,llfsh
19,Longline fishery,Male,2008,3,0.01215,llfsh
20,Longline fishery,Male,2008,3,0.01215,llfsh
21,Longline fishery,Male,2008,0,0,llfsh
22,Longline fishery,Male,2008,1,0.00405,llfsh
23,Longline fishery,Male,2008,1,0.00405,llfsh
24,Longline fishery,Male,2008,1,0.00405,llfsh
25,Longline fishery,Male,2008,22,0.08907,llfsh
2,Longline fishery,Female,2009,1,0.00348,llfsh
3,Longline fishery,Female,2009,8,0.02787,llfsh
4,Longline fishery,Female,2009,9,0.03136,llfsh
5,Longline fishery,Female,2009,16,0.05575,llfsh
6,Longline fishery,Female,2009,31,0.10801,llfsh
7,Longline fishery,Female,2009,24,0.08362,llfsh
8,Longline fishery,Female,2009,32,0.1115,llfsh
9,Longline fishery,Female,2009,37,0.12892,llfsh
10,Longline fishery,Female,2009,35,0.12195,llfsh
11,Longline fishery,Female,2009,24,0.08362,llfsh
12,Longline fishery,Female,2009,22,0.07666,llfsh
13,Longline fishery,Female,2009,19,0.0662,llfsh
14,Longline fishery,Female,2009,11,0.03833,llfsh
15,Longline fishery,Female,2009,1,0.00348,llfsh
16,Longline fishery,Female,2009,5,0.01742,llfsh
17,Longline fishery,Female,2009,3,0.01045,llfsh
18,Longline fishery,Female,2009,3,0.01045,llfsh
19,Longline fishery,Female,2009,2,0.00697,llfsh
20,Longline fishery,Female,2009,1,0.00348,llfsh
21,Longline fishery,Female,2009,0,0,llfsh
22,Longline fishery,Female,2009,1,0.00348,llfsh
23,Longline fishery,Female,2009,0,0,llfsh
24,Longline fishery,Female,2009,1,0.00348,llfsh
25,Longline fishery,Female,2009,1,0.00348,llfsh
2,Longline fishery,Male,2009,0,0,llfsh
3,Longline fishery,Male,2009,5,0.0188,llfsh
4,Longline fishery,Male,2009,5,0.0188,llfsh
5,Longline fishery,Male,2009,9,0.03383,llfsh
6,Longline fishery,Male,2009,15,0.05639,llfsh
7,Longline fishery,Male,2009,18,0.06767,llfsh
8,Longline fishery,Male,2009,19,0.07143,llfsh
9,Longline fishery,Male,2009,30,0.11278,llfsh
10,Longline fishery,Male,2009,22,0.08271,llfsh
11,Longline fishery,Male,2009,29,0.10902,llfsh
12,Longline fishery,Male,2009,20,0.07519,llfsh
13,Longline fishery,Male,2009,26,0.09774,llfsh
14,Longline fishery,Male,2009,18,0.06767,llfsh
15,Longline fishery,Male,2009,10,0.03759,llfsh
16,Longline fishery,Male,2009,5,0.0188,llfsh
17,Longline fishery,Male,2009,2,0.00752,llfsh
18,Longline fishery,Male,2009,7,0.02632,llfsh
19,Longline fishery,Male,2009,2,0.00752,llfsh
20,Longline fishery,Male,2009,5,0.0188,llfsh
21,Longline fishery,Male,2009,1,0.00376,llfsh
22,Longline fishery,Male,2009,0,0,llfsh
23,Longline fishery,Male,2009,2,0.00752,llfsh
24,Longline fishery,Male,2009,1,0.00376,llfsh
25,Longline fishery,Male,2009,15,0.05639,llfsh
2,Longline fishery,Female,2010,0,0,llfsh
3,Longline fishery,Female,2010,4,0.0137,llfsh
4,Longline fishery,Female,2010,9,0.03082,llfsh
5,Longline fishery,Female,2010,22,0.07534,llfsh
6,Longline fishery,Female,2010,26,0.08904,llfsh
7,Longline fishery,Female,2010,37,0.12671,llfsh
8,Longline fishery,Female,2010,20,0.06849,llfsh
9,Longline fishery,Female,2010,25,0.08562,llfsh
10,Longline fishery,Female,2010,29,0.09932,llfsh
11,Longline fishery,Female,2010,29,0.09932,llfsh
12,Longline fishery,Female,2010,28,0.09589,llfsh
13,Longline fishery,Female,2010,19,0.06507,llfsh
14,Longline fishery,Female,2010,15,0.05137,llfsh
15,Longline fishery,Female,2010,12,0.0411,llfsh
16,Longline fishery,Female,2010,10,0.03425,llfsh
17,Longline fishery,Female,2010,2,0.00685,llfsh
18,Longline fishery,Female,2010,1,0.00342,llfsh
19,Longline fishery,Female,2010,2,0.00685,llfsh
20,Longline fishery,Female,2010,0,0,llfsh
21,Longline fishery,Female,2010,1,0.00342,llfsh
22,Longline fishery,Female,2010,0,0,llfsh
23,Longline fishery,Female,2010,0,0,llfsh
24,Longline fishery,Female,2010,0,0,llfsh
25,Longline fishery,Female,2010,1,0.00342,llfsh
2,Longline fishery,Male,2010,1,0.0036,llfsh
3,Longline fishery,Male,2010,6,0.02158,llfsh
4,Longline fishery,Male,2010,5,0.01799,llfsh
5,Longline fishery,Male,2010,15,0.05396,llfsh
6,Longline fishery,Male,2010,12,0.04317,llfsh
7,Longline fishery,Male,2010,16,0.05755,llfsh
8,Longline fishery,Male,2010,22,0.07914,llfsh
9,Longline fishery,Male,2010,21,0.07554,llfsh
10,Longline fishery,Male,2010,21,0.07554,llfsh
11,Longline fishery,Male,2010,31,0.11151,llfsh
12,Longline fishery,Male,2010,24,0.08633,llfsh
13,Longline fishery,Male,2010,32,0.11511,llfsh
14,Longline fishery,Male,2010,13,0.04676,llfsh
15,Longline fishery,Male,2010,16,0.05755,llfsh
16,Longline fishery,Male,2010,8,0.02878,llfsh
17,Longline fishery,Male,2010,8,0.02878,llfsh
18,Longline fishery,Male,2010,5,0.01799,llfsh
19,Longline fishery,Male,2010,3,0.01079,llfsh
20,Longline fishery,Male,2010,2,0.00719,llfsh
21,Longline fishery,Male,2010,2,0.00719,llfsh
22,Longline fishery,Male,2010,4,0.01439,llfsh
23,Longline fishery,Male,2010,0,0,llfsh
24,Longline fishery,Male,2010,2,0.00719,llfsh
25,Longline fishery,Male,2010,9,0.03237,llfsh
2,Longline fishery,Female,2011,0,0,llfsh
3,Longline fishery,Female,2011,1,0.00368,llfsh
4,Longline fishery,Female,2011,15,0.05515,llfsh
5,Longline fishery,Female,2011,37,0.13603,llfsh
6,Longline fishery,Female,2011,20,0.07353,llfsh
7,Longline fishery,Female,2011,31,0.11397,llfsh
8,Longline fishery,Female,2011,23,0.08456,llfsh
9,Longline fishery,Female,2011,24,0.08824,llfsh
10,Longline fishery,Female,2011,19,0.06985,llfsh
11,Longline fishery,Female,2011,11,0.04044,llfsh
12,Longline fishery,Female,2011,17,0.0625,llfsh
13,Longline fishery,Female,2011,17,0.0625,llfsh
14,Longline fishery,Female,2011,15,0.05515,llfsh
15,Longline fishery,Female,2011,12,0.04412,llfsh
16,Longline fishery,Female,2011,11,0.04044,llfsh
17,Longline fishery,Female,2011,5,0.01838,llfsh
18,Longline fishery,Female,2011,3,0.01103,llfsh
19,Longline fishery,Female,2011,1,0.00368,llfsh
20,Longline fishery,Female,2011,2,0.00735,llfsh
21,Longline fishery,Female,2011,2,0.00735,llfsh
22,Longline fishery,Female,2011,2,0.00735,llfsh
23,Longline fishery,Female,2011,1,0.00368,llfsh
24,Longline fishery,Female,2011,1,0.00368,llfsh
25,Longline fishery,Female,2011,2,0.00735,llfsh
2,Longline fishery,Male,2011,0,0,llfsh
3,Longline fishery,Male,2011,2,0.01042,llfsh
4,Longline fishery,Male,2011,11,0.05729,llfsh
5,Longline fishery,Male,2011,25,0.13021,llfsh
6,Longline fishery,Male,2011,14,0.07292,llfsh
7,Longline fishery,Male,2011,16,0.08333,llfsh
8,Longline fishery,Male,2011,13,0.06771,llfsh
9,Longline fishery,Male,2011,8,0.04167,llfsh
10,Longline fishery,Male,2011,10,0.05208,llfsh
11,Longline fishery,Male,2011,10,0.05208,llfsh
12,Longline fishery,Male,2011,12,0.0625,llfsh
13,Longline fishery,Male,2011,5,0.02604,llfsh
14,Longline fishery,Male,2011,15,0.07812,llfsh
15,Longline fishery,Male,2011,7,0.03646,llfsh
16,Longline fishery,Male,2011,4,0.02083,llfsh
17,Longline fishery,Male,2011,6,0.03125,llfsh
18,Longline fishery,Male,2011,12,0.0625,llfsh
19,Longline fishery,Male,2011,2,0.01042,llfsh
20,Longline fishery,Male,2011,2,0.01042,llfsh
21,Longline fishery,Male,2011,3,0.01562,llfsh
22,Longline fishery,Male,2011,1,0.00521,llfsh
