Year,Project,Project Code,Trip Number,ADFG Number,Vessel Name,CFEC Permit Number,Date Left Port,Sell Date,Groundline Diameter Inches,Pot Spacing Feet,All Tickets,First Ticket,Gear,Trip Target Species Code,Trip Target Species,Groundfish Stat Area,Groundfish Management Area Code,Time Set,Time Hauled,Average Depth Fathoms,Pot Type,Pot Dimensions,Number of Pots,Species,Species Code,Disposition,Disposition Code,Numbers,Pounds
1997,Commercial Pot Trip,617,1001,35564,NAVIGATOR,C91C50868S,1997-08-31 00:00:00,1997-09-06 00:00:00,0.75,150,91494,91494,Pot,710,Sablefish,325401,SSEI,1997-09-01 12:00:00,1997-09-05 10:00:00,205,Round,33x60x30,25,Sablefish,710,Retained,01,,130
1997,Commercial Pot Trip,617,1001,35564,NAVIGATOR,C91C50868S,1997-08-31 00:00:00,1997-09-06 00:00:00,0.75,150,91494,91494,Pot,710,Sablefish,325431,SSEI,1997-09-01 10:00:00,1997-09-04 08:30:00,205,Round,33x60x30,25,Sablefish,710,Retained,01,,30
1997,Commercial Pot Trip,617,1001,35564,NAVIGATOR,C91C50868S,1997-08-31 00:00:00,1997-09-06 00:00:00,0.75,150,91494,91494,Pot,710,Sablefish,325433,SSEI,1997-09-01 15:00:00,1997-09-04 16:00:00,215,Round,33x60x30,25,Sablefish,710,Retained,01,,150
1997,Commercial Pot Trip,617,1001,35564,NAVIGATOR,C91C50868S,1997-08-31 00:00:00,1997-09-06 00:00:00,0.75,150,91494,91494,Pot,710,Sablefish,325433,SSEI,1997-09-01 19:30:00,1997-09-03 14:20:00,240,Round,33x60x30,25,Sablefish,710,Retained,01,,400
1997,Commercial Pot Trip,617,1001,35564,NAVIGATOR,C91C50868S,1997-08-31 00:00:00,1997-09-06 00:00:00,0.75,150,91494,91494,Pot,710,Sablefish,325433,SSEI,1997-09-03 21:00:00,1997-09-04 13:00:00,215,Round,33x60x30,25,Sablefish,710,Retained,01,,30
1997,Commercial Pot Trip,617,1001,35564,NAVIGATOR,C91C50868S,1997-08-31 00:00:00,1997-09-06 00:00:00,0.75,150,91494,91494,Pot,710,Sablefish,325433,SSEI,1997-09-04 19:30:00,1997-09-04 00:00:00,230,Round,33x60x30,25,Sablefish,710,Retained,01,,25
1997,Commercial Pot Trip,617,1002,35564,NAVIGATOR,C91C50868S,,1997-09-11 00:00:00,0.75,150,91495,91495,Pot,710,Sablefish,315432,SSEI,1997-09-05 15:30:00,1997-09-08 07:30:00,228,Round,33x60x30,23,Sablefish,710,Retained,01,,1200
1997,Commercial Pot Trip,617,1002,35564,NAVIGATOR,C91C50868S,,1997-09-11 00:00:00,0.75,150,91495,91495,Pot,710,Sablefish,315432,SSEI,1997-09-05 17:40:00,1997-09-08 01:00:00,235,Round,33x60x30,23,Sablefish,710,Retained,01,,700
1997,Commercial Pot Trip,617,1002,35564,NAVIGATOR,C91C50868S,,1997-09-11 00:00:00,0.75,150,91495,91495,Pot,710,Sablefish,315432,SSEI,1997-09-05 18:50:00,1997-09-08 13:00:00,240,Round,33x60x30,23,Sablefish,710,Retained,01,,800
1997,Commercial Pot Trip,617,1002,35564,NAVIGATOR,C91C50868S,,1997-09-11 00:00:00,0.75,150,91495,91495,Pot,710,Sablefish,315432,SSEI,1997-09-08 08:30:00,1997-09-10 07:00:00,235,Round,33x60x30,22,Sablefish,710,Retained,01,,1200
1997,Commercial Pot Trip,617,1002,35564,NAVIGATOR,C91C50868S,,1997-09-11 00:00:00,0.75,150,91495,91495,Pot,710,Sablefish,315432,SSEI,1997-09-08 11:00:00,1997-09-10 01:00:00,225,Round,33x60x30,23,Sablefish,710,Retained,01,,800
1997,Commercial Pot Trip,617,1002,35564,NAVIGATOR,C91C50868S,,1997-09-11 00:00:00,0.75,150,91495,91495,Pot,710,Sablefish,315432,SSEI,1997-09-08 14:50:00,1997-09-10 12:00:00,240,Round,33x60x30,23,Sablefish,710,Retained,01,,800
1997,Commercial Pot Trip,617,1002,35564,NAVIGATOR,C91C50868S,,1997-09-11 00:00:00,0.75,150,91495,91495,Pot,710,Sablefish,325401,SSEI,1997-09-01 08:00:00,1997-09-09 18:50:00,200,Round,33x60x30,23,Sablefish,710,Retained,01,,50
1997,Commercial Pot Trip,617,1003,35564,NAVIGATOR,C91C50868S,,1997-09-15 00:00:00,0.75,150,91496,91496,Pot,710,Sablefish,315432,SSEI,1997-09-09 17:00:00,1997-09-12 18:00:00,235,Round,33x60x30,24,Sablefish,710,Retained,01,,600
1997,Commercial Pot Trip,617,1003,35564,NAVIGATOR,C91C50868S,,1997-09-15 00:00:00,0.75,150,91496,91496,Pot,710,Sablefish,315432,SSEI,1997-09-09 18:00:00,1997-09-12 12:00:00,235,Round,33x60x30,24,Sablefish,710,Retained,01,,700
1997,Commercial Pot Trip,617,1003,35564,NAVIGATOR,C91C50868S,,1997-09-15 00:00:00,0.75,150,91496,91496,Pot,710,Sablefish,315432,SSEI,1997-09-10 09:00:00,1997-09-12 11:00:00,220,Round,33x60x30,23,Sablefish,710,Retained,01,,400
