year,sd,cpue,n,se,ll,ul
2020,148.14933673325692,169.52278107880505,19,33.987788809097104,101.54720346061085,237.49835869699928
2021,190.71360055010717,195.07836649476832,38,30.937831310202963,133.20270387436238,256.95402911517425
2022,124.91904259469243,137.55772588155912,54,16.999328528555225,103.55906882444867,171.55638293866957
